Publication.year	Organism	Context	MeSH.ID	MeSH.term	Phase	Tissue	Function	Source.cell.type.class	Source.cell.type	Target.cell.type.class	Target.cell.type	Clear.direction	Reciprocal.direction	Interaction.details	Method	Method.details	Reference	Information	Full.PDF	PMID	Title
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34951683	VPS32, a member of the ESCRT complex, modulates adherence to host cells in the parasite Trichomonas vaginalis by affecting biogenesis and cargo sorting of released extracellular vesicles
2021	human	urinary bladder	A05	Urogenital System	NA	NA	NA	basal cell	basal cell	smooth muscle cell	smooth muscle cell	1	1	NA	computational	Cellchat	34951074	1	1	34951074	Understanding of mouse and human bladder at single-cell resolution: integrated analysis of trajectory and cell-cell interactive networks based on multiple scRNA-seq datasets
2021	human	urinary bladder	A05	Urogenital System	NA	NA	NA	smooth muscle cell	smooth muscle cell	myofibroblast	suburothelial myofibroblast	0	0	NA	computational	Cellchat	34951074	1	1	34951074	Understanding of mouse and human bladder at single-cell resolution: integrated analysis of trajectory and cell-cell interactive networks based on multiple scRNA-seq datasets
2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	34936938	Restoring anatomical complexity of a left ventricle wall as a step toward bioengineering a human heart with human induced pluripotent stem cell-derived cardiac cells
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	macrophage	macrophage	T cell	CD8+ T cell	1	0	CD274:PDCD1	computational	CellPhoneDB	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	epithelial cell	epithelial cell	T cell	CD8+ T cell	1	0	CD274:PDCD1	computational	CellPhoneDB	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	macrophage	macrophage	T cell	CD8+ T cell	1	0	HAVCR2:LGALS9	computational	CellPhoneDB	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	endothelial cell	endothelial cell	T cell	CD8+ T cell	1	0	HAVCR2:LGALS9	computational	CellPhoneDB	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	others	non-immune cell	T cell	CD8+ T cell	1	0	TIGIT:NECTIN2	computational	CellPhoneDB	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	dendritic cell	dendritic cell	T cell	CD8+ T cell	1	0	TIGIT:NECTIN2	computational	CellPhoneDB	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	macrophage	macrophage	T cell	CD8+ T cell	1	0	TIGIT:NECTIN2	computational	CellPhoneDB	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	macrophage	PD-L1+ macrophage	T cell	T cell	0	0	NA	experimental	multispectral fluorescent microscopy	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	head and neck squamous cell carcinoma	C04	Neoplasms	NA	NA	NA	T cell	T cell	cancer cell	tumor cell	0	0	NA	experimental	multispectral fluorescent microscopy	34921143	1	1	34921143	Investigating immune and non-immune cell interactions in head and neck tumors by single-cell RNA sequencing
2021	human	melanoma	C04	Neoplasms	NA	NA	induce the stress-responsive protein FKBP51;subsequently increase the immunosuppressive nature of TIME	others	melanoma cell	T cell	T cell	0	0	NA	experimental	in vitro	34896267	1	1	34896267	Focus on organoids: cooperation and interconnection with extracellular vesicles - Is this the future of in vitro modeling?
2021	human	organoids	A10	Tissues	NA	NA	NA	dendritic cell	dendritic cell	T cell	T cell	0	0	NA	experimental	co-culture	27813830; 11854473	1	1	34896267	Focus on organoids: cooperation and interconnection with extracellular vesicles - Is this the future of in vitro modeling?
2021	human	stomach neoplasms	C04|C06	Neoplasms|Digestive System Diseases	NA	NA	NA	dendritic cell	dendritic cell	T cell	cytotoxic T cell	0	0	NA	experimental	co-culture	27813830; 11854473	1	1	34896267	Focus on organoids: cooperation and interconnection with extracellular vesicles - Is this the future of in vitro modeling?
2021	human	organoids	A10	Tissues	NA	NA	NA	epithelial cell	epithelial cell	macrophage	macrophage	0	0	NA	experimental	co-culture	31107464	1	1	34896267	Focus on organoids: cooperation and interconnection with extracellular vesicles - Is this the future of in vitro modeling?
2021	human	organoids	A10	Tissues	NA	NA	NA	myeloid-derived suppressor cell	myeloid-derived suppressor cell	T cell	T cell	0	0	NA	experimental	cell culture	24883232	1	1	34896267	Focus on organoids: cooperation and interconnection with extracellular vesicles - Is this the future of in vitro modeling?
2021	human	neoplasms	C04	Neoplasms	NA	NA	NA	others	normal cell	macrophage	macrophage	0	0	NA	experimental	cell lines	30669516	1	1	34896267	Focus on organoids: cooperation and interconnection with extracellular vesicles - Is this the future of in vitro modeling?
2021	human	COVID-19	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	M1-like macrophage	T cell	T cell	0	0	NA	computational	CellChat	34864302	1	1	34864302	Single-cell RNA analysis reveals the potential risk of organ-specific cell types vulnerable to SARS-CoV-2 infections
2021	human	COVID-19	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	M1-like macrophage	granulocyte	neutrophil	0	0	NA	computational	CellChat	34864302	1	1	34864302	Single-cell RNA analysis reveals the potential risk of organ-specific cell types vulnerable to SARS-CoV-2 infections
2021	human	COVID-19	C01|C08	Infections|Respiratory Tract Diseases	NA	NA	NA	macrophage	M1-like macrophage	natural killer cell	natural killer cell	0	0	NA	computational	CellChat	34864302	1	1	34864302	Single-cell RNA analysis reveals the potential risk of organ-specific cell types vulnerable to SARS-CoV-2 infections
